Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
23453064,-13.62,-68.37,53.8,1.53,-21.8,58.0,-21.6
23467326,-13.58,-69.08,53.5,1.53,-21.9,57.8,-21.9
23481588,-13.64,-70.51,52.9,1.53,-21.7,57.2,-22.0
23495850,-13.62,-71.42,52.5,1.53,-21.7,56.8,-22.2
23510112,-13.58,-72.28,52.2,1.53,-21.8,56.5,-22.5
23524374,-13.56,-73.78,51.6,1.53,-21.7,56.0,-22.8
23538636,-13.56,-74.74,51.2,1.53,-21.7,55.6,-22.9
23552898,-13.55,-76.19,50.6,1.53,-21.6,55.1,-23.1
23567160,-13.50,-76.87,50.4,1.54,-21.7,54.8,-23.3
23581422,-13.55,-78.18,49.9,1.53,-21.5,54.3,-23.4
23595684,-13.53,-79.07,49.5,1.53,-21.4,54.0,-23.5
23609946,-13.50,-80.19,49.1,1.54,-21.4,53.6,-23.6
23624208,-13.51,-81.27,48.7,1.54,-21.3,53.2,-23.7
23638470,-13.51,-82.30,48.4,1.53,-21.2,52.8,-23.7
23652732,-13.50,-83.45,47.9,1.54,-21.1,52.4,-23.8
23666994,-13.43,-84.48,47.5,1.54,-21.1,52.0,-24.0
23681256,-13.48,-85.47,47.2,1.54,-20.9,51.6,-23.9
23695518,-13.47,-86.64,46.8,1.54,-20.7,51.2,-23.9
23709780,-13.43,-87.72,46.4,1.54,-20.7,50.8,-24.0
23724042,-13.44,-88.72,46.1,1.54,-20.5,50.5,-24.0
23738304,-13.42,-89.79,45.7,1.54,-20.4,50.1,-24.0
23752566,-13.44,-90.69,45.4,1.54,-20.3,49.8,-23.9
23766828,-13.40,-91.86,45.0,1.54,-20.2,49.3,-23.9
23781090,-13.39,-92.76,44.7,1.54,-20.0,49.0,-23.9
23795352,-13.35,-94.00,44.3,1.55,-19.9,48.6,-23.9
23809614,-13.40,-94.79,44.1,1.54,-19.7,48.3,-23.6
23823876,-13.38,-95.61,43.9,1.55,-19.6,48.0,-23.6
23838138,-13.35,-96.94,43.4,1.55,-19.4,47.6,-23.5
23852400,-13.35,-97.61,43.2,1.55,-19.3,47.3,-23.4
23866662,-13.33,-98.64,42.9,1.55,-19.2,47.0,-23.2
23880924,-13.35,-99.93,42.6,1.55,-18.9,46.6,-23.0
23895186,-13.32,-100.84,42.3,1.55,-18.8,46.3,-22.9
23909448,-13.34,-101.69,42.1,1.55,-18.6,46.0,-22.6
23923710,-13.34,-102.75,41.8,1.55,-18.4,45.6,-22.4
23937972,-13.33,-103.75,41.5,1.55,-18.2,45.3,-22.2
23952234,-13.32,-104.69,41.2,1.55,-18.1,45.0,-22.0
23966496,-13.31,-105.74,41.0,1.55,-17.9,44.7,-21.8
23980758,-13.31,-106.65,40.7,1.55,-17.7,44.4,-21.5
23995020,-13.30,-107.48,40.5,1.55,-17.5,44.1,-21.3
24009282,-13.31,-108.32,40.3,1.55,-17.3,43.9,-21.0
24023544,-13.28,-109.65,39.9,1.55,-17.1,43.5,-20.7
24037806,-13.33,-110.54,39.8,1.55,-16.9,43.2,-20.3
24052068,-13.29,-111.20,39.6,1.55,-16.8,43.0,-20.1
24066330,-13.32,-112.36,39.4,1.55,-16.5,42.7,-19.6
24080592,-13.31,-113.13,39.2,1.55,-16.3,42.5,-19.4
24094854,-13.28,-114.18,38.9,1.55,-16.2,42.1,-19.0
24109116,-13.32,-114.94,38.8,1.55,-15.9,41.9,-18.6
24123378,-13.28,-116.11,38.5,1.55,-15.7,41.6,-18.3
24137640,-13.33,-116.87,38.4,1.55,-15.5,41.4,-17.8
24151902,-13.30,-117.81,38.2,1.55,-15.3,41.1,-17.5
24166164,-13.35,-118.64,38.1,1.55,-15.1,40.9,-17.0
24180426,-13.37,-119.85,37.9,1.55,-14.8,40.6,-16.5
24194688,-13.34,-120.49,37.7,1.55,-14.7,40.5,-16.2
24208950,-13.36,-121.24,37.6,1.55,-14.5,40.3,-15.7
24223212,-13.37,-122.48,37.4,1.55,-14.2,40.0,-15.2
24237474,-13.43,-123.17,37.3,1.54,-14.0,39.9,-14.7
24251736,-13.41,-124.16,37.1,1.54,-13.7,39.6,-14.2
24265998,-13.45,-124.93,37.1,1.54,-13.5,39.4,-13.7
24280260,-13.47,-125.94,36.9,1.54,-13.3,39.2,-13.2
24294522,-13.47,-126.98,36.7,1.54,-13.0,39.0,-12.7
24308784,-13.50,-127.43,36.7,1.54,-12.9,38.9,-12.3
24323046,-13.53,-128.29,36.6,1.53,-12.7,38.7,-11.8
24337308,-13.56,-129.26,36.5,1.53,-12.4,38.5,-11.2
24351570,-13.54,-130.12,36.3,1.53,-12.2,38.3,-10.7
24365832,-13.58,-130.70,36.3,1.53,-12.1,38.2,-10.3
24380094,-13.62,-131.81,36.2,1.53,-11.8,38.1,-9.7
24394356,-13.67,-132.67,36.1,1.52,-11.5,37.9,-9.1
24408618,-13.65,-133.37,36.0,1.52,-11.4,37.8,-8.7
24422880,-13.67,-134.17,35.9,1.52,-11.2,37.6,-8.1
24437142,-13.72,-135.06,35.9,1.52,-10.9,37.5,-7.6
24451404,-13.73,-136.02,35.8,1.52,-10.7,37.3,-7.0
