Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
23895186,-17.18,-72.88,52.3,1.32,-14.1,54.2,-15.6
23909448,-17.32,-73.05,52.3,1.32,-13.9,54.1,-15.4
23923710,-17.34,-73.06,52.2,1.31,-13.8,54.0,-15.4
23937972,-17.55,-73.66,52.1,1.31,-13.5,53.8,-15.1
23952234,-17.68,-73.62,52.1,1.30,-13.3,53.8,-14.8
23966496,-17.81,-73.69,52.1,1.30,-13.1,53.7,-14.6
23980758,-17.95,-74.20,51.9,1.29,-12.9,53.5,-14.4
23995020,-18.13,-74.00,52.0,1.28,-12.6,53.5,-14.1
24009282,-18.22,-74.25,51.9,1.28,-12.5,53.4,-14.0
24023544,-18.38,-74.14,51.9,1.27,-12.2,53.4,-13.7
24037806,-18.51,-74.63,51.8,1.27,-12.0,53.2,-13.5
24052068,-18.61,-74.50,51.8,1.27,-11.9,53.2,-13.4
24066330,-18.85,-74.89,51.8,1.26,-11.6,53.0,-13.0
24080592,-19.01,-74.97,51.7,1.25,-11.3,53.0,-12.8
24094854,-19.19,-74.96,51.7,1.25,-11.1,52.9,-12.5
24109116,-19.33,-75.26,51.7,1.24,-10.9,52.8,-12.3
24123378,-19.45,-75.17,51.7,1.24,-10.8,52.8,-12.2
24137640,-19.72,-75.40,51.6,1.23,-10.4,52.6,-11.8
24151902,-19.88,-75.47,51.6,1.23,-10.2,52.6,-11.6
24166164,-20.02,-75.17,51.6,1.22,-10.1,52.6,-11.4
24180426,-20.22,-76.10,51.4,1.22,-9.8,52.4,-11.1
24194688,-20.48,-75.96,51.5,1.21,-9.5,52.3,-10.8
24208950,-20.62,-76.17,51.4,1.21,-9.4,52.3,-10.6
24223212,-20.78,-76.01,51.4,1.20,-9.2,52.2,-10.4
24237474,-21.02,-76.43,51.3,1.20,-8.9,52.1,-10.1
24251736,-21.21,-76.14,51.4,1.19,-8.7,52.1,-9.9
24265998,-21.53,-76.79,51.3,1.18,-8.4,51.9,-9.5
24280260,-21.74,-76.34,51.3,1.18,-8.2,52.0,-9.3
24294522,-21.99,-77.31,51.1,1.17,-8.0,51.8,-9.0
24308784,-22.26,-76.92,51.2,1.17,-7.7,51.8,-8.7
24323046,-22.42,-76.30,51.3,1.16,-7.6,51.8,-8.5
24337308,-22.75,-77.16,51.1,1.16,-7.3,51.6,-8.2
24351570,-23.00,-77.78,51.0,1.15,-7.1,51.5,-7.9
24365832,-23.31,-78.10,51.0,1.15,-6.8,51.4,-7.6
24380094,-23.66,-77.63,51.0,1.14,-6.6,51.4,-7.3
24394356,-23.89,-77.41,51.0,1.14,-6.4,51.4,-7.1
24408618,-24.34,-77.76,50.9,1.13,-6.1,51.3,-6.7
24422880,-24.62,-78.09,50.9,1.12,-5.9,51.2,-6.5
24437142,-25.09,-78.46,50.8,1.12,-5.6,51.1,-6.1
24451404,-25.32,-78.84,50.8,1.11,-5.4,51.1,-6.0
24465666,-25.82,-78.21,50.8,1.11,-5.1,51.1,-5.6
24479928,-26.30,-78.44,50.7,1.10,-4.8,51.0,-5.3
24494190,-26.72,-78.05,50.8,1.10,-4.6,51.0,-5.1
24508452,-27.22,-78.76,50.7,1.09,-4.3,50.9,-4.7
24522714,-27.68,-78.27,50.7,1.09,-4.1,50.8,-4.5
24536976,-28.22,-79.10,50.6,1.08,-3.9,50.7,-4.2
24551238,-28.76,-78.59,50.6,1.08,-3.6,50.7,-3.9
24565500,-29.44,-77.46,50.6,1.07,-3.3,50.7,-3.7
24579762,-30.10,-78.49,50.5,1.06,-3.1,50.6,-3.4
24594024,-31.20,-76.69,50.6,1.06,-2.7,50.6,-3.0
24608286,-31.86,-77.03,50.5,1.05,-2.5,50.6,-2.8
24622548,-32.40,-74.80,50.6,1.05,-2.3,50.6,-2.6
24636810,-33.89,-77.62,50.4,1.04,-2.0,50.4,-2.2
24651072,-34.45,-74.45,50.5,1.04,-1.8,50.5,-2.1
24665334,-35.97,-76.48,50.3,1.03,-1.6,50.4,-1.7
24679596,-37.37,-74.03,50.4,1.03,-1.3,50.4,-1.5
24693858,-39.43,-69.42,50.4,1.02,-1.0,50.4,-1.2
24708120,-41.59,-65.67,50.3,1.02,-0.8,50.3,-0.9
24722382,-44.45,-52.82,50.4,1.01,-0.5,50.4,-0.7
24736644,-49.67,-43.35,50.2,1.01,-0.2,50.2,-0.4
24750906,-51.83,-2.62,50.3,1.01,-0.0,50.3,-0.2
24765168,-48.71,43.53,50.3,1.01,0.3,50.3,0.0
24779430,-45.42,68.58,50.2,1.01,0.5,50.2,0.3
24793692,-41.65,79.15,50.1,1.02,0.8,50.2,0.6
